"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Andre Roberts",3200,"Mia@Was 01:00PM ET",5.838,"Was"
"TE","Larry Donnell",3200,"NYG@Dal 08:30PM ET",9.831,"NYG"
"RB","Zac Stacy",3200,"Cle@NYJ 01:00PM ET",5.115,"NYJ"
"RB","Mike Davis",3200,"Min@SF 10:20PM ET",0,"SF"
"DST","Browns ",3100,"Cle@NYJ 01:00PM ET",8.188,"Cle"
"DST","Panthers ",3100,"Car@Jax 01:00PM ET",7.222,"Car"
"TE","Vernon Davis",3100,"Min@SF 10:20PM ET",4.493,"SF"
"RB","Knowshon Moreno",3100,"Mia@Was 01:00PM ET",8.533,"Mia"
"DST","Texans ",3000,"KC@Hou 01:00PM ET",10.875,"Hou"
"DST","Packers ",3000,"GB@Chi 01:00PM ET",9.389,"GB"
"DST","Chiefs ",3000,"KC@Hou 01:00PM ET",7.500,"KC"
"DST","Dolphins ",3000,"Mia@Was 01:00PM ET",8.125,"Mia"
"WR","Josh Cribbs",3000,"Ind@Buf 01:00PM ET",0.089,"Ind"
"WR","Lance Moore",3000,"Det@SD 04:05PM ET",3.414,"Det"
"RB","Maurice Jones-Drew",3000,"Car@Jax 01:00PM ET",2.308,"Jax"
"WR","Jason Avant",3000,"KC@Hou 01:00PM ET",4.713,"KC"
"WR","Santonio Holmes",3000,"GB@Chi 01:00PM ET",1.633,"Chi"
"WR","Miles Austin",3000,"Phi@Atl 07:10PM ET",9.650,"Phi"
"WR","Nate Washington",3000,"KC@Hou 01:00PM ET",7.481,"Hou"
"RB","Tyler Clutts",3000,"NYG@Dal 08:30PM ET",0.456,"Dal"
"WR","Harry Douglas",3000,"Ten@TB 04:25PM ET",10.550,"Ten"
"WR","Eric Weems",3000,"Phi@Atl 07:10PM ET",2.013,"Atl"
"WR","Jerricho Cotchery",3000,"Car@Jax 01:00PM ET",7.318,"Car"
"WR","Josh Morgan",3000,"NO@Ari 04:05PM ET",1.857,"NO"
"WR","Ted Ginn Jr.",3000,"Car@Jax 01:00PM ET",2.294,"Car"
"RB","Jerome Felton",3000,"Ind@Buf 01:00PM ET",0.544,"Buf"
"RB","Tim Hightower",3000,"NO@Ari 04:05PM ET",0,"NO"
"RB","Shonn Greene",3000,"Ten@TB 04:25PM ET",4.038,"Ten"
"WR","Marcus Thigpen",3000,"Ind@Buf 01:00PM ET",0.556,"Buf"
"RB","Ahmad Bradshaw",3000,"Ind@Buf 01:00PM ET",15.650,"Ind"
"RB","Cedric Peerman",3000,"Cin@Oak 04:25PM ET",0.588,"Cin"
"RB","Chris Ogbonnaya",3000,"NYG@Dal 08:30PM ET",1.571,"NYG"
"WR","Jerome Simpson",3000,"Min@SF 10:20PM ET",0,"SF"
"RB","Mike Tolbert",3000,"Car@Jax 01:00PM ET",4.030,"Car"
"RB","Jed Collins",3000,"NYG@Dal 08:30PM ET",0.994,"Dal"
"RB","John Kuhn",3000,"GB@Chi 01:00PM ET",1.361,"GB"
"WR","Seyi Ajirotutu",3000,"Phi@Atl 07:10PM ET",0.531,"Phi"
"WR","Marlon Moore",3000,"Cle@NYJ 01:00PM ET",0.000,"Cle"
"WR","Brandon Tate",3000,"Cin@Oak 04:25PM ET",2.553,"Cin"
"RB","Darrel Young",3000,"Mia@Was 01:00PM ET",3.206,"Was"
"WR","Louis Murphy",3000,"Ten@TB 04:25PM ET",7.636,"TB"
"RB","Antone Smith",3000,"Phi@Atl 07:10PM ET",7.860,"Atl"
"RB","Donald Brown",3000,"Det@SD 04:05PM ET",5.569,"SD"
"RB","Jorvorskie Lane",3000,"Ten@TB 04:25PM ET",0.789,"TB"
"WR","Jordan Norwood",3000,"Bal@Den 04:25PM ET",0,"Den"
"RB","John Conner",3000,"Ind@Buf 01:00PM ET",1.125,"Buf"
"WR","Trindon Holliday",3000,"Cin@Oak 04:25PM ET",0.000,"Oak"
"WR","Kevin Ogletree",3000,"NYG@Dal 08:30PM ET",1.429,"NYG"
"RB","Collin Mooney",3000,"Phi@Atl 07:10PM ET",0,"Atl"
"WR","Kyle Williams",3000,"Bal@Den 04:25PM ET",0,"Den"
"RB","Erik Lorig",3000,"NO@Ari 04:05PM ET",1.710,"NO"
"WR","Kris Durham",3000,"Cin@Oak 04:25PM ET",2.850,"Oak"
"RB","Shaun Draughn",3000,"Cle@NYJ 01:00PM ET",0.173,"Cle"
"WR","Hakeem Nicks",3000,"Ten@TB 04:25PM ET",6.542,"Ten"
"WR","Preston Parker",3000,"NYG@Dal 08:30PM ET",5.550,"NYG"
"WR","Greg Salas",3000,"Det@SD 04:05PM ET",3.270,"Det"
"WR","Jacoby Ford",3000,"Ten@TB 04:25PM ET",0,"Ten"
"RB","Marcel Reece",3000,"Cin@Oak 04:25PM ET",5.133,"Oak"
"WR","Dwayne Harris",3000,"NYG@Dal 08:30PM ET",1.044,"NYG"
"RB","Bruce Miller",3000,"Min@SF 10:20PM ET",3.050,"SF"
"WR","Marc Mariani",3000,"GB@Chi 01:00PM ET",0.000,"Chi"
"WR","Bryan Walters",3000,"Car@Jax 01:00PM ET",0.767,"Jax"
"WR","Jacoby Jones",3000,"Det@SD 04:05PM ET",1.611,"SD"
"WR","Riley Cooper",3000,"Phi@Atl 07:10PM ET",8.106,"Phi"
"RB","Boobie Dixon",3000,"Ind@Buf 01:00PM ET",4.256,"Buf"
"WR","Jeremy Ross",3000,"Det@SD 04:05PM ET",3.488,"Det"
"RB","Chase Reynolds",3000,"Sea@StL 01:00PM ET",0.000,"StL"
"WR","Joseph Morgan",3000,"NO@Ari 04:05PM ET",3.980,"NO"
"WR","Damian Williams",3000,"Sea@StL 01:00PM ET",0.800,"StL"
"WR","Ryan Broyles",3000,"Det@SD 04:05PM ET",0.900,"Det"
"WR","John Chiles",3000,"GB@Chi 01:00PM ET",0,"Chi"
"WR","Arrelious Benn",3000,"Car@Jax 01:00PM ET",0,"Jax"
"WR","Carlton Mitchell",3000,"Phi@Atl 07:10PM ET",0,"Atl"
"WR","Marcus Easley",3000,"Ind@Buf 01:00PM ET",0.000,"Buf"
"WR","Austin Pettis",3000,"Det@SD 04:05PM ET",5.960,"SD"
"WR","Armon Binns",3000,"KC@Hou 01:00PM ET",0,"KC"
"RB","Matt Asiata",3000,"Min@SF 10:20PM ET",13.013,"Min"
"WR","Corbin Louks",3000,"KC@Hou 01:00PM ET",0,"KC"
"WR","Marcus Harris",3000,"NYG@Dal 08:30PM ET",0,"NYG"
"RB","Taiwan Jones",3000,"Cin@Oak 04:25PM ET",0.000,"Oak"
"RB","DuJuan Harris",3000,"Min@SF 10:20PM ET",0.567,"Min"
"WR","Deonte Thompson",3000,"Ind@Buf 01:00PM ET",0.000,"Buf"
"RB","Henry Hynoski",3000,"NYG@Dal 08:30PM ET",0.081,"NYG"
"WR","Denarius Moore",3000,"Cin@Oak 04:25PM ET",2.260,"Cin"
"WR","Leonard Hankerson",3000,"Phi@Atl 07:10PM ET",0.000,"Atl"
"WR","Fred Williams",3000,"KC@Hou 01:00PM ET",0,"KC"
"WR","Reggie Dunn",3000,"NYG@Dal 08:30PM ET",0,"Dal"
"WR","G.J. Kinne",3000,"Phi@Atl 07:10PM ET",0,"Phi"
"WR","Dontrelle Inman",3000,"Det@SD 04:05PM ET",3.971,"SD"
"RB","Jeremy Stewart",3000,"Bal@Den 04:25PM ET",0.314,"Den"
"RB","Joe Banyard",3000,"Min@SF 10:20PM ET",1.600,"Min"
"WR","Jeremy Kerley",3000,"Cle@NYJ 01:00PM ET",5.844,"NYJ"
"RB","Robert Hughes",3000,"NO@Ari 04:05PM ET",1.453,"Ari"
"WR","Nathan Palmer",3000,"Bal@Den 04:25PM ET",0,"Den"
"RB","Anthony Sherman",3000,"KC@Hou 01:00PM ET",1.494,"KC"
"WR","Julian Talley",3000,"NYG@Dal 08:30PM ET",0.000,"NYG"
"WR","Mike Brown",3000,"Car@Jax 01:00PM ET",2.960,"Car"
"WR","Aldrick Robinson",3000,"Bal@Den 04:25PM ET",0.320,"Bal"
"WR","Jeff Maehl",3000,"Phi@Atl 07:10PM ET",1.200,"Phi"
"RB","Will Tukuafu",3000,"Sea@StL 01:00PM ET",0.309,"Sea"
"WR","Vincent Brown",3000,"Ind@Buf 01:00PM ET",3.400,"Ind"
"RB","Bilal Powell",3000,"Cle@NYJ 01:00PM ET",2.687,"NYJ"
"RB","Bobby Rainey",3000,"Ten@TB 04:25PM ET",7.807,"TB"
"RB","Roy Helu Jr.",3000,"Cin@Oak 04:25PM ET",9.164,"Oak"
"WR","Devon Wylie",3000,"Sea@StL 01:00PM ET",0,"StL"
"WR","Junior Hemingway",3000,"KC@Hou 01:00PM ET",1.629,"KC"
"RB","Patrick DiMarco",3000,"Phi@Atl 07:10PM ET",1.325,"Atl"
"WR","Kevin Cone",3000,"Cle@NYJ 01:00PM ET",0,"Cle"
"RB","Isaiah Pead",3000,"Sea@StL 01:00PM ET",0,"StL"
"RB","George Winn",3000,"Det@SD 04:05PM ET",0.562,"Det"
"RB","Cyrus Gray",3000,"KC@Hou 01:00PM ET",1.011,"KC"
"WR","Juron Criner",3000,"NYG@Dal 08:30PM ET",0,"NYG"
"WR","Tavarres King",3000,"Ten@TB 04:25PM ET",1.650,"TB"
"RB","Austin Johnson",3000,"NO@Ari 04:05PM ET",1.671,"NO"
"RB","Chris Polk",3000,"KC@Hou 01:00PM ET",3.629,"Hou"
"RB","Jarryd Hayne",3000,"Min@SF 10:20PM ET",0,"SF"
"RB","Kenjon Barner",3000,"Phi@Atl 07:10PM ET",0,"Phi"
"RB","LaMichael James",3000,"Mia@Was 01:00PM ET",0.300,"Mia"
"WR","Brice Butler",3000,"Cin@Oak 04:25PM ET",4.067,"Oak"
"RB","Zach Line",3000,"Min@SF 10:20PM ET",0.000,"Min"
"WR","Chris Owusu",3000,"Cle@NYJ 01:00PM ET",3.513,"NYJ"
"WR","Griff Whalen",3000,"Ind@Buf 01:00PM ET",0.330,"Ind"
"WR","Brenton Bersin",3000,"Car@Jax 01:00PM ET",2.165,"Car"
"RB","Derrick Coleman",3000,"Sea@StL 01:00PM ET",2.180,"Sea"
"RB","Jonathan Grimes",3000,"KC@Hou 01:00PM ET",1.869,"Hou"
"WR","Frankie Hammond Jr.",3000,"KC@Hou 01:00PM ET",0.531,"KC"
"WR","Jaron Brown",3000,"NO@Ari 04:05PM ET",3.347,"Ari"
"WR","T.J. Graham",3000,"Cle@NYJ 01:00PM ET",1.475,"NYJ"
"RB","Ryan Williams",3000,"NYG@Dal 08:30PM ET",0,"Dal"
"WR","Chris Givens",3000,"Sea@StL 01:00PM ET",2.379,"StL"
"WR","Tandon Doss",3000,"Car@Jax 01:00PM ET",0,"Jax"
"WR","A.J. Jenkins",3000,"NYG@Dal 08:30PM ET",2.011,"Dal"
"RB","Michael Cox",3000,"NYG@Dal 08:30PM ET",1.550,"NYG"
"RB","Glenn Winston",3000,"Cle@NYJ 01:00PM ET",0.000,"Cle"
"WR","Keshawn Martin",3000,"KC@Hou 01:00PM ET",0.863,"Hou"
"WR","Myles White",3000,"GB@Chi 01:00PM ET",0,"GB"
"WR","DeVier Posey",3000,"Cle@NYJ 01:00PM ET",4.000,"NYJ"
"WR","Jarrett Boykin",3000,"Car@Jax 01:00PM ET",0.353,"Car"
"WR","LaRon Byrd",3000,"Mia@Was 01:00PM ET",0.000,"Mia"
"WR","Travis Benjamin",3000,"Cle@NYJ 01:00PM ET",4.281,"Cle"
"WR","Tommy Streeter",3000,"Mia@Was 01:00PM ET",0.000,"Mia"
"RB","Jordan Todman",3000,"Car@Jax 01:00PM ET",4.713,"Car"
"WR","Jarius Wright",3000,"Min@SF 10:20PM ET",7.869,"Min"
"WR","Damaris Johnson",3000,"KC@Hou 01:00PM ET",4.500,"Hou"
"RB","Lance Dunbar",3000,"NYG@Dal 08:30PM ET",2.756,"Dal"
"WR","Darius Davis",3000,"Min@SF 10:20PM ET",0,"SF"
"WR","Russell Shepard",3000,"Ten@TB 04:25PM ET",0.644,"TB"
"RB","Zurlon Tipton",3000,"Ind@Buf 01:00PM ET",4.289,"Ind"
"RB","Matthew Tucker",3000,"Phi@Atl 07:10PM ET",0,"Phi"
"RB","Mike James",3000,"Ten@TB 04:25PM ET",0.382,"TB"
"RB","Tommy Bohanon",3000,"Cle@NYJ 01:00PM ET",1.325,"NYJ"
"RB","Toben Opurum",3000,"NO@Ari 04:05PM ET",0,"NO"
"WR","Ryan Grant",3000,"Mia@Was 01:00PM ET",0.863,"Was"
"RB","Rex Burkhead",3000,"Cin@Oak 04:25PM ET",2.930,"Cin"
"WR","Stephen Hill",3000,"Car@Jax 01:00PM ET",0,"Car"
"RB","Benny Cunningham",3000,"Sea@StL 01:00PM ET",7.925,"StL"
"RB","Kendall Gaskins",3000,"Min@SF 10:20PM ET",0,"SF"
"WR","Michael Campanaro",3000,"Bal@Den 04:25PM ET",5.183,"Bal"
"RB","Nikita Whitlock",3000,"NYG@Dal 08:30PM ET",0,"NYG"
"RB","Kyle Juszczyk",3000,"Bal@Den 04:25PM ET",2.872,"Bal"
"RB","Bryce Brown",3000,"Ind@Buf 01:00PM ET",6.457,"Buf"
"WR","Ryan Spadola",3000,"NO@Ari 04:05PM ET",0,"Ari"
"RB","Stepfan Taylor",3000,"NO@Ari 04:05PM ET",4.413,"Ari"
"WR","Tevin Reese",3000,"Cin@Oak 04:25PM ET",0,"Cin"
"WR","Andrew Peacock",3000,"Det@SD 04:05PM ET",0,"Det"
"WR","Tony Washington",3000,"Car@Jax 01:00PM ET",0,"Jax"
"RB","Ray Agnew",3000,"NYG@Dal 08:30PM ET",0.392,"Dal"
"WR","Marquise Goodwin",3000,"Ind@Buf 01:00PM ET",0.600,"Buf"
"RB","Kerwynn Williams",3000,"NO@Ari 04:05PM ET",6.000,"Ari"
"WR","Rico Richardson",3000,"Ten@TB 04:25PM ET",0.000,"Ten"
"WR","Emory Blake",3000,"Sea@StL 01:00PM ET",0,"StL"
"RB","Brandon Wegher",3000,"Car@Jax 01:00PM ET",0,"Car"
"WR","Kevin Norwood",3000,"Sea@StL 01:00PM ET",1.920,"Sea"
"WR","Andre Debose",3000,"Cin@Oak 04:25PM ET",0,"Oak"
"RB","Mike Gillislee",3000,"Mia@Was 01:00PM ET",0,"Mia"
"WR","Shaq Evans",3000,"Cle@NYJ 01:00PM ET",0,"NYJ"
"WR","Duron Carter",3000,"Ind@Buf 01:00PM ET",0,"Ind"
"WR","Rodney Smith",3000,"Cle@NYJ 01:00PM ET",0.000,"Cle"
"RB","Chris Thompson",3000,"Mia@Was 01:00PM ET",7.950,"Was"
"WR","Josh Lenz",3000,"Cle@NYJ 01:00PM ET",0,"Cle"
"WR","Ricardo Lockette",3000,"Sea@StL 01:00PM ET",2.733,"Sea"
"RB","Christine Michael",3000,"Sea@StL 01:00PM ET",1.970,"Sea"
"WR","EZ Nwachukwu",3000,"KC@Hou 01:00PM ET",0,"Hou"
"RB","Denard Robinson",3000,"Car@Jax 01:00PM ET",9.354,"Jax"
"RB","Fitzgerald Toussaint",3000,"Bal@Den 04:25PM ET",1.283,"Bal"
"RB","Edwin Baker",3000,"NO@Ari 04:05PM ET",0.067,"NO"
"WR","Bennie Fowler",3000,"Bal@Den 04:25PM ET",0,"Den"
"WR","Jared Abbrederis",3000,"GB@Chi 01:00PM ET",0,"GB"
"WR","Nick Williams",3000,"Phi@Atl 07:10PM ET",0,"Atl"
"WR","Devin Street",3000,"NYG@Dal 08:30PM ET",0.211,"Dal"
"WR","Cobi Hamilton",3000,"Cin@Oak 04:25PM ET",0.000,"Cin"
"WR","Marlon Brown",3000,"Bal@Den 04:25PM ET",3.769,"Bal"
"WR","Chris Matthews",3000,"Sea@StL 01:00PM ET",0.000,"Sea"
"RB","Ronnie Hillman",3000,"Bal@Den 04:25PM ET",12.122,"Den"
"WR","Colin Lockett",3000,"Mia@Was 01:00PM ET",0,"Was"
"RB","Bernard Pierce",3000,"Car@Jax 01:00PM ET",3.840,"Jax"
"WR","Alan Bonner",3000,"KC@Hou 01:00PM ET",0,"Hou"
"WR","Stedman Bailey",3000,"Sea@StL 01:00PM ET",6.414,"StL"
"RB","Daniel Thomas",3000,"GB@Chi 01:00PM ET",4.575,"Chi"
"WR","Justin Brown",3000,"Ind@Buf 01:00PM ET",2.550,"Buf"
"RB","J.C. Copeland",3000,"Cle@NYJ 01:00PM ET",0,"NYJ"
"RB","Spencer Ware",3000,"KC@Hou 01:00PM ET",0,"KC"
"WR","James Wright",3000,"Cin@Oak 04:25PM ET",1.555,"Cin"
"WR","Kenny Bell",3000,"Ten@TB 04:25PM ET",0,"TB"
"WR","Quincy Enunwa",3000,"Cle@NYJ 01:00PM ET",0.000,"NYJ"
"RB","Storm Johnson",3000,"Car@Jax 01:00PM ET",3.533,"Jax"
"WR","Austin Hill",3000,"Cle@NYJ 01:00PM ET",0,"NYJ"
"WR","Tyler Slavin",3000,"Sea@StL 01:00PM ET",0,"StL"
"WR","Solomon Patton",3000,"Bal@Den 04:25PM ET",0.271,"Den"
"RB","Rajion Neal",3000,"GB@Chi 01:00PM ET",0,"GB"
"WR","Da'Rick Rogers",3000,"KC@Hou 01:00PM ET",0,"KC"
"RB","Trey Millard",3000,"Min@SF 10:20PM ET",0,"SF"
"RB","Vick Ballard",3000,"Ind@Buf 01:00PM ET",0,"Ind"
"RB","Silas Redd Jr.",3000,"Mia@Was 01:00PM ET",2.147,"Was"
"WR","Kyle Prater",3000,"NO@Ari 04:05PM ET",0,"NO"
"WR","Deon Long",3000,"Ten@TB 04:25PM ET",0,"Ten"
"WR","Ryan Lankford",3000,"Ind@Buf 01:00PM ET",0,"Ind"
"RB","Jay Prosch",3000,"KC@Hou 01:00PM ET",0.213,"Hou"
"WR","Dres Anderson",3000,"Min@SF 10:20PM ET",0,"SF"
"RB","Jalston Fowler",3000,"Ten@TB 04:25PM ET",0,"Ten"
"WR","TJ Jones",3000,"Det@SD 04:05PM ET",0,"Det"
"WR","Kenbrell Thompkins",3000,"Cin@Oak 04:25PM ET",3.407,"Oak"
"RB","Joey Iosefa",3000,"Ten@TB 04:25PM ET",0,"TB"
"WR","Nick Harwell",3000,"NYG@Dal 08:30PM ET",0,"Dal"
"WR","Tony Jones",3000,"Mia@Was 01:00PM ET",0,"Was"
"WR","Rashad Lawrence",3000,"GB@Chi 01:00PM ET",0,"Chi"
"WR","Andy Tanner",3000,"NO@Ari 04:05PM ET",0,"NO"
"RB","Orleans Darkwa",3000,"NYG@Dal 08:30PM ET",1.645,"NYG"
"WR","Rod Streater",3000,"Cin@Oak 04:25PM ET",7.800,"Oak"
"WR","Ify Umodu",3000,"GB@Chi 01:00PM ET",0,"Chi"
"WR","Mario Hull",3000,"Min@SF 10:20PM ET",0,"SF"
"WR","Jordan Taylor",3000,"Bal@Den 04:25PM ET",0,"Den"
"WR","Damarr Aultman",3000,"Mia@Was 01:00PM ET",0,"Mia"
"WR","R.J. Harris",3000,"NO@Ari 04:05PM ET",0,"NO"
"WR","Ben Edwards",3000,"NYG@Dal 08:30PM ET",0,"NYG"
"RB","Connor Neighbors",3000,"Ten@TB 04:25PM ET",0,"Ten"
"WR","Ace Sanders",3000,"Car@Jax 01:00PM ET",0.875,"Jax"
"RB","Lee Ward",3000,"Car@Jax 01:00PM ET",0,"Car"
"WR","Jimmie Hunt",3000,"GB@Chi 01:00PM ET",0,"GB"
"WR","Marcus Lucas",3000,"Car@Jax 01:00PM ET",0,"Car"
"RB","Marcus Murphy",3000,"NO@Ari 04:05PM ET",0,"NO"
"WR","Bud Sasser",3000,"Sea@StL 01:00PM ET",0,"StL"
"RB","Andre Williams",3000,"NYG@Dal 08:30PM ET",9.444,"NYG"
"WR","Jarred Haggins",3000,"Det@SD 04:05PM ET",0,"Det"
"RB","Synjyn Days",3000,"NYG@Dal 08:30PM ET",0,"Dal"
"RB","Rod Smith",3000,"Sea@StL 01:00PM ET",0,"Sea"
"WR","Joshua Bellamy",3000,"GB@Chi 01:00PM ET",0.000,"Chi"
"RB","Dominique Brown",3000,"Ten@TB 04:25PM ET",0,"TB"
"RB","Senorise Perry",3000,"GB@Chi 01:00PM ET",0.056,"Chi"
"WR","Lance Lewis",3000,"NO@Ari 04:05PM ET",0,"NO"
"WR","Jordan Leslie",3000,"Min@SF 10:20PM ET",0,"Min"
"WR","Neal Sterling",3000,"Car@Jax 01:00PM ET",0,"Jax"
"WR","Walt Powell",3000,"Cle@NYJ 01:00PM ET",-0.250,"NYJ"
"RB","Lache Seastrunk",3000,"NYG@Dal 08:30PM ET",0,"Dal"
"WR","Javontee Herndon",3000,"Det@SD 04:05PM ET",0,"SD"
"RB","Malcolm Johnson",3000,"Cle@NYJ 01:00PM ET",0,"Cle"
"WR","Josh Huff",3000,"Phi@Atl 07:10PM ET",1.958,"Phi"
"WR","Andrew Turzilli",3000,"Ten@TB 04:25PM ET",0,"Ten"
"WR","John Harris",3000,"Phi@Atl 07:10PM ET",0,"Phi"
"WR","Issac Blakeney",3000,"Min@SF 10:20PM ET",0,"SF"
"RB","Juwan Thompson",3000,"Bal@Den 04:25PM ET",3.447,"Den"
"RB","Manasseh Garner",3000,"KC@Hou 01:00PM ET",0,"KC"
"WR","Ezell Ruffin",3000,"Ind@Buf 01:00PM ET",0,"Ind"
"WR","Brandon Coleman",3000,"NO@Ari 04:05PM ET",0,"NO"
"RB","Michael Burton",3000,"Det@SD 04:05PM ET",0,"Det"
"WR","Malcome Kennedy",3000,"NO@Ari 04:05PM ET",0,"NO"
"WR","Albert Wilson",3000,"KC@Hou 01:00PM ET",3.500,"KC"
"RB","Michael Dyer",3000,"Cin@Oak 04:25PM ET",0,"Oak"
"RB","Corey Grant",3000,"Car@Jax 01:00PM ET",0,"Jax"
"WR","DeAndrew White",3000,"Min@SF 10:20PM ET",0,"SF"
"RB","Mack Brown",3000,"Mia@Was 01:00PM ET",0,"Was"
"WR","Adrian Coxson",3000,"GB@Chi 01:00PM ET",0,"GB"
"WR","Kaelin Clay",3000,"Ten@TB 04:25PM ET",0,"TB"
"WR","Antwan Goodley",3000,"NYG@Dal 08:30PM ET",0,"Dal"
"WR","Levi Norwood",3000,"GB@Chi 01:00PM ET",0,"Chi"
"WR","Matt Hazel",3000,"Mia@Was 01:00PM ET",0,"Mia"
"WR","Keith Mumphery",3000,"KC@Hou 01:00PM ET",0,"Hou"
"RB","Jeremy Langford",3000,"GB@Chi 01:00PM ET",0,"Chi"
"WR","Rishard Matthews",3000,"Mia@Was 01:00PM ET",2.700,"Mia"
"WR","Justin Hardy",3000,"Phi@Atl 07:10PM ET",0,"Atl"
"WR","Desmond Lawrence",3000,"Det@SD 04:05PM ET",0,"Det"
"WR","J.J. Nelson",3000,"NO@Ari 04:05PM ET",0,"Ari"
"WR","Da'Ron Brown",3000,"KC@Hou 01:00PM ET",0,"KC"
"WR","DiAndre Campbell",3000,"Min@SF 10:20PM ET",0,"SF"
"WR","Kevin Smith",3000,"Sea@StL 01:00PM ET",0,"Sea"
"WR","Clyde Gates",3000,"Ten@TB 04:25PM ET",0,"Ten"
"WR","Andre Holmes",3000,"Cin@Oak 04:25PM ET",8.956,"Oak"
"WR","Corey Fuller",3000,"Det@SD 04:05PM ET",2.635,"Det"
"WR","Jake Kumerow",3000,"Cin@Oak 04:25PM ET",0,"Cin"
"WR","Geremy Davis",3000,"NYG@Dal 08:30PM ET",0,"NYG"
"RB","Jerome Smith",3000,"Phi@Atl 07:10PM ET",0.000,"Atl"
"WR","Bernard Reedy",3000,"Phi@Atl 07:10PM ET",0,"Atl"
"RB","Jamize Olawale",3000,"Cin@Oak 04:25PM ET",1.175,"Oak"
"WR","Paul Richardson",3000,"Sea@StL 01:00PM ET",4.075,"Sea"
"WR","Robert Herron",3000,"Ten@TB 04:25PM ET",2.225,"TB"
"WR","Donte Foster",3000,"Min@SF 10:20PM ET",0,"Min"
"WR","Douglas McNeil III",3000,"Sea@StL 01:00PM ET",0,"Sea"
"WR","Daniel Brown",3000,"Bal@Den 04:25PM ET",0,"Bal"
"WR","Reggie Bell",3000,"Mia@Was 01:00PM ET",0,"Was"
"WR","Isaiah Burse",3000,"Bal@Den 04:25PM ET",-0.083,"Den"
"WR","Josh Harper",3000,"Cin@Oak 04:25PM ET",0,"Oak"
"WR","Jalen Saunders",3000,"NO@Ari 04:05PM ET",0.078,"NO"
"WR","Freddie Martino",3000,"Phi@Atl 07:10PM ET",0.000,"Atl"
