"position.rank","passing.yards","passing.tds","passing.interceptions","rushing.rushes","rushing.yards","rushing.tds","receiving.catches","receiving.yards","receiving.tds","total.points","passing.completions","passing.attempts","name","team","pos","rank"
1,5210,48,12,32,-14,0,0,0,0,368,435,640,"Peyton Manning","DEN","QB",1
2,4378,39,7,47,225,2,0,0,0,347,348,514,"Aaron Rodgers","GB","QB",2
3,4880,39,15,27,64,1,0,0,0,329,435,626,"Drew Brees","NO","QB",3
1,0,0,0,0,0,0,0,0,0,315,0,0,"Seahawks","SEA","DEF",4
2,0,0,0,0,0,0,0,0,0,304,0,0,"Panthers","CAR","DEF",5
4,0,0,0,0,0,0,0,0,0,300,0,0,"Broncos","DEN","DEF",6
7,0,0,0,0,0,0,0,0,0,300,0,0,"Rams","STL","DEF",6
5,0,0,0,0,0,0,0,0,0,298,0,0,"Cardinals","ARI","DEF",8
8,0,0,0,0,0,0,0,0,0,295,0,0,"Chiefs","KC","DEF",9
3,0,0,0,0,0,0,0,0,0,294,0,0,"49ers","SF","DEF",10
9,0,0,0,0,0,0,0,0,0,292,0,0,"Patriots","NE","DEF",11
5,3365,20,15,118,637,8,0,0,0,289,276,462,"Cam Newton","CAR","QB",12
10,0,0,0,0,0,0,0,0,0,286,0,0,"Bills","BUF","DEF",13
7,3789,22,13,101,563,4,0,0,0,285,294,490,"Robert Griffin III","WSH","QB",14
4,4471,32,18,34,84,2,0,0,0,284,397,649,"Matthew Stafford","DET","QB",15
6,0,0,0,0,0,0,0,0,0,284,0,0,"Bengals","CIN","DEF",15
6,4071,23,10,63,365,3,0,0,0,282,357,581,"Andrew Luck","IND","QB",17
8,3969,26,11,70,273,3,0,0,0,277,299,467,"Nick Foles","PHI","QB",18
15,0,0,0,0,0,0,0,0,0,270,0,0,"Browns","CLE","DEF",19
9,3264,25,10,92,497,3,0,0,0,269,257,400,"Russell Wilson","SEA","QB",20
12,0,0,0,0,0,0,0,0,0,269,0,0,"Saints","NO","DEF",20
10,3378,22,11,101,474,4,0,0,0,266,248,427,"Colin Kaepernick","SF","QB",22
13,0,0,0,0,0,0,0,0,0,266,0,0,"Texans","HOU","DEF",22
14,0,0,0,0,0,0,0,0,0,265,0,0,"Ravens","BAL","DEF",24
13,4654,28,15,23,29,0,0,0,0,264,413,633,"Tony Romo","DAL","QB",25
11,4377,28,14,24,86,0,0,0,0,261,419,627,"Matt Ryan","ATL","QB",26
12,4287,26,9,24,21,1,0,0,0,261,402,626,"Tom Brady","NE","QB",26
14,4392,28,12,26,45,0,0,0,0,261,364,544,"Philip Rivers","SD","QB",26
20,0,0,0,0,0,0,0,0,0,261,0,0,"Colts","IND","DEF",26
18,0,0,0,0,0,0,0,0,0,261,0,0,"Eagles","PHI","DEF",26
17,0,0,0,0,0,0,0,0,0,260,0,0,"Giants","NYG","DEF",31
22,0,0,0,0,0,0,0,0,0,259,0,0,"Raiders","OAK","DEF",32
30,0,0,0,0,0,0,0,0,0,259,0,0,"Redskins","WSH","DEF",32
21,0,0,0,0,0,0,0,0,0,258,0,0,"Bears","CHI","DEF",34
19,0,0,0,0,0,0,0,0,0,257,0,0,"Lions","DET","DEF",35
16,0,0,0,0,0,0,0,0,0,257,0,0,"Steelers","PIT","DEF",35
29,0,0,0,0,0,0,0,0,0,257,0,0,"Vikings","MIN","DEF",35
23,0,0,0,0,0,0,0,0,0,254,0,0,"Jaguars","JAC","DEF",38
24,0,0,0,0,0,0,0,0,0,252,0,0,"Packers","GB","DEF",39
1,0,0,0,298,1365,13,40,289,2,250,0,0,"Adrian Peterson","MIN","RB",40
28,0,0,0,0,0,0,0,0,0,248,0,0,"Dolphins","MIA","DEF",41
25,0,0,0,0,0,0,0,0,0,248,0,0,"Titans","TEN","DEF",41
15,3653,28,16,32,196,1,0,0,0,245,302,485,"Jay Cutler","CHI","QB",43
27,0,0,0,0,0,0,0,0,0,245,0,0,"Falcons","ATL","DEF",43
3,0,0,0,247,1260,7,64,587,4,244,0,0,"Jamaal Charles","KC","RB",45
26,0,0,0,0,0,0,0,0,0,243,0,0,"Jets","NYJ","DEF",46
2,0,0,0,294,1402,9,42,342,3,242,0,0,"LeSean McCoy","PHI","RB",47
32,0,0,0,0,0,0,0,0,0,240,0,0,"Cowboys","DAL","DEF",48
31,0,0,0,0,0,0,0,0,0,239,0,0,"Chargers","SD","DEF",49
17,3562,27,15,54,137,2,0,0,0,237,317,520,"Andy Dalton","CIN","QB",50
1,0,0,0,0,0,0,94,1664,12,236,0,0,"Calvin Johnson","DET","WR",51
16,3744,26,13,26,100,1,0,0,0,235,319,511,"Ben Roethlisberger","PIT","QB",52
4,0,0,0,270,1227,8,70,576,2,235,0,0,"Matt Forte","CHI","RB",52
5,0,0,0,303,1285,12,33,279,1,229,0,0,"Marshawn Lynch","SEA","RB",54
18,3912,25,16,20,27,0,0,0,0,222,340,550,"Eli Manning","NYG","QB",55
19,4191,23,17,19,23,0,0,0,0,221,346,566,"Carson Palmer","ARI","QB",56
22,3672,23,17,42,209,1,0,0,0,220,325,545,"Ryan Tannehill","MIA","QB",57
2,0,0,0,0,0,0,93,1400,13,216,0,0,"Demaryius Thomas","DEN","WR",58
6,0,0,0,288,1220,10,42,301,1,214,0,0,"Eddie Lacy","GB","RB",59
21,3905,22,18,36,61,1,0,0,0,212,329,554,"Joe Flacco","BAL","QB",60
24,3122,18,8,65,327,1,0,0,0,212,304,503,"Alex Smith","KC","QB",60
20,3365,22,10,20,87,1,0,0,0,210,246,415,"Josh McCown","TB","QB",62
7,0,0,0,296,1192,8,43,316,1,200,0,0,"Doug Martin","TB","RB",63
4,0,0,0,1,8,0,100,1327,12,200,0,0,"Dez Bryant","DAL","WR",63
3,0,0,0,0,0,0,90,1336,11,199,0,0,"A.J. Green","CIN","WR",65
5,0,0,0,0,0,0,95,1230,12,195,0,0,"Brandon Marshall","CHI","WR",66
11,0,0,0,281,1073,8,52,358,1,192,0,0,"Le'Veon Bell","PIT","RB",67
6,0,0,0,1,19,0,97,1387,9,191,0,0,"Julio Jones","ATL","WR",68
10,0,0,0,206,989,8,56,425,1,190,0,0,"DeMarco Murray","DAL","RB",69
1,0,0,0,0,0,0,84,1115,13,189,0,0,"Jimmy Graham","NO","TE",70
7,0,0,0,0,0,0,82,1286,10,188,0,0,"Jordy Nelson","GB","WR",71
8,0,0,0,14,85,1,85,1284,8,188,0,0,"Alshon Jeffery","CHI","WR",71
9,0,0,0,8,47,0,109,1435,7,187,0,0,"Antonio Brown","PIT","WR",73
23,2661,13,16,76,381,5,0,0,0,186,211,377,"Johnny Manziel","CLE","QB",74
8,0,0,0,220,1034,8,37,307,1,183,0,0,"Arian Foster","HOU","RB",75
10,0,0,0,10,123,0,87,1233,8,183,0,0,"Randall Cobb","GB","WR",75
9,0,0,0,286,1187,9,21,127,0,182,0,0,"Zac Stacy","STL","RB",77
12,0,0,0,269,1287,9,8,62,0,182,0,0,"Alfred Morris","WSH","RB",77
25,2558,14,11,87,304,3,0,0,0,180,224,397,"EJ Manuel","BUF","QB",79
26,3121,21,14,21,31,0,0,0,0,179,288,486,"Sam Bradford","STL","QB",80
13,0,0,0,217,943,9,54,333,1,179,0,0,"Montee Ball","DEN","RB",80
11,0,0,0,0,0,0,100,1367,7,178,0,0,"Andre Johnson","HOU","WR",82
14,0,0,0,210,927,3,52,478,4,177,0,0,"Giovani Bernard","CIN","RB",83
15,0,0,0,195,904,5,50,456,3,175,0,0,"Reggie Bush","DET","RB",84
16,0,0,0,265,1101,7,37,288,0,174,0,0,"Ben Tate","CLE","RB",85
12,0,0,0,1,12,0,73,1235,8,172,0,0,"Vincent Jackson","TB","WR",86
1,0,0,0,0,0,0,0,0,0,171,0,0,"Matt Prater","DEN","K",87
21,0,0,0,264,987,6,43,326,1,170,0,0,"Trent Richardson","IND","RB",88
27,2304,14,11,58,376,2,0,0,0,169,173,305,"Michael Vick","NYJ","QB",89
19,0,0,0,259,1123,8,15,130,0,169,0,0,"Frank Gore","SF","RB",89
18,0,0,0,201,1001,5,37,316,1,165,0,0,"C.J. Spiller","BUF","RB",91
20,0,0,0,166,867,3,48,457,3,165,0,0,"Andre Ellington","ARI","RB",91
2,0,0,0,0,0,0,72,923,12,164,0,0,"Julius Thomas","DEN","TE",93
17,0,0,0,230,1065,7,19,176,0,163,0,0,"Ryan Mathews","SD","RB",94
2,0,0,0,0,0,0,0,0,0,163,0,0,"Stephen Gostkowski","NE","K",94
28,2413,14,9,40,262,1,0,0,0,162,209,347,"Jake Locker","TEN","QB",96
27,0,0,0,202,812,6,43,417,1,160,0,0,"Joique Bell","DET","RB",97
32,2645,15,13,30,208,1,0,0,0,157,245,402,"Ryan Fitzpatrick","HOU","QB",98
22,0,0,0,201,802,6,38,330,2,157,0,0,"Chris Johnson","NYJ","RB",98
28,0,0,0,254,1107,8,8,60,0,156,0,0,"Stevan Ridley","NE","RB",100
25,0,0,0,217,960,7,31,218,0,155,0,0,"Rashad Jennings","NYG","RB",101
4,0,0,0,0,0,0,57,850,12,155,0,0,"Vernon Davis","SF","TE",101
3,0,0,0,0,0,0,0,0,0,155,0,0,"Justin Tucker","BAL","K",101
13,0,0,0,2,11,0,88,1057,8,154,0,0,"Larry Fitzgerald","ARI","WR",104
23,0,0,0,205,851,6,50,306,1,153,0,0,"Ray Rice","BAL","RB",105
4,0,0,0,0,0,0,0,0,0,151,0,0,"Mason Crosby","GB","K",106
5,0,0,0,0,0,0,0,0,0,151,0,0,"Steven Hauschka","SEA","K",106
16,0,0,0,0,0,0,85,1045,8,150,0,0,"Keenan Allen","SD","WR",108
6,0,0,0,0,0,0,0,0,0,150,0,0,"Phil Dawson","SF","K",108
7,0,0,0,0,0,0,0,0,0,150,0,0,"Nick Novak","SD","K",108
24,0,0,0,219,877,6,27,221,1,149,0,0,"Steven Jackson","ATL","RB",111
14,0,0,0,2,19,0,96,1129,6,147,0,0,"Pierre Garcon","WSH","WR",112
15,0,0,0,4,26,0,65,1031,7,147,0,0,"DeSean Jackson","WSH","WR",112
8,0,0,0,0,0,0,0,0,0,147,0,0,"Adam Vinatieri","IND","K",112
9,0,0,0,0,0,0,0,0,0,147,0,0,"Blair Walsh","MIN","K",112
26,0,0,0,95,436,2,72,687,4,145,0,0,"Shane Vereen","NE","RB",116
29,0,0,0,214,857,6,30,220,1,145,0,0,"Bishop Sankey","TEN","RB",116
10,0,0,0,0,0,0,0,0,0,145,0,0,"Dan Bailey","DAL","K",116
17,0,0,0,0,0,0,80,1042,7,144,0,0,"Victor Cruz","NYG","WR",119
23,0,0,0,2,12,0,61,1056,6,142,0,0,"Torrey Smith","BAL","WR",120
21,0,0,0,1,12,0,80,1043,6,141,0,0,"Michael Crabtree","SF","WR",121
11,0,0,0,0,0,0,0,0,0,141,0,0,"Nick Folk","NYJ","K",121
18,0,0,0,0,0,0,80,1004,7,140,0,0,"Roddy White","ATL","WR",123
22,0,0,0,4,26,0,74,1087,5,140,0,0,"T.Y. Hilton","IND","WR",123
35,0,0,0,0,0,0,64,947,8,140,0,0,"Eric Decker","NYJ","WR",123
30,0,0,0,98,380,2,90,612,5,139,0,0,"Pierre Thomas","NO","RB",126
34,0,0,0,6,50,0,84,1041,5,139,0,0,"Golden Tate","DET","WR",126
25,0,0,0,15,104,1,73,814,7,137,0,0,"Cordarrelle Patterson","MIN","WR",128
12,0,0,0,0,0,0,0,0,0,137,0,0,"Robbie Gould","CHI","K",128
32,0,0,0,238,876,6,23,176,0,136,0,0,"Toby Gerhart","JAC","RB",130
24,0,0,0,4,34,0,96,935,7,136,0,0,"Julian Edelman","NE","WR",130
26,0,0,0,0,0,0,70,1076,5,135,0,0,"Michael Floyd","ARI","WR",132
3,0,0,0,0,0,0,60,876,8,135,0,0,"Rob Gronkowski","NE","TE",132
13,0,0,0,0,0,0,0,0,0,134,0,0,"Shayne Graham","NO","K",134
14,0,0,0,0,0,0,0,0,0,134,0,0,"Matt Bryant","ATL","K",134
28,0,0,0,0,0,0,90,1108,4,132,0,0,"Reggie Wayne","IND","WR",136
15,0,0,0,0,0,0,0,0,0,132,0,0,"Alex Henery","PHI","K",136
18,0,0,0,0,0,0,0,0,0,132,0,0,"Shaun Suisham","PIT","K",136
33,0,0,0,4,31,0,76,986,5,131,0,0,"Mike Wallace","MIA","WR",139
20,0,0,0,0,0,0,0,0,0,131,0,0,"Jay Feely","ARI","K",139
21,0,0,0,0,0,0,0,0,0,131,0,0,"Dan Carpenter","BUF","K",139
31,0,0,0,180,710,5,31,240,1,129,0,0,"Knowshon Moreno","MIA","RB",142
6,0,0,0,0,0,0,74,879,7,129,0,0,"Jordan Cameron","CLE","TE",142
20,0,0,0,17,81,1,77,916,4,127,0,0,"Percy Harvin","SEA","WR",144
27,0,0,0,0,0,0,63,875,7,127,0,0,"Jeremy Maclin","PHI","WR",144
30,0,0,0,7,42,0,65,893,6,127,0,0,"Sammy Watkins","BUF","WR",144
31,0,0,0,1,8,0,91,1051,4,127,0,0,"Kendall Wright","TEN","WR",144
37,0,0,0,4,19,0,57,928,6,127,0,0,"Terrance Williams","DAL","WR",144
16,0,0,0,0,0,0,0,0,0,127,0,0,"Ryan Succop","KC","K",144
19,0,0,0,0,0,0,0,0,0,127,0,0,"Greg Zuerlein","STL","K",144
32,0,0,0,1,19,0,77,971,5,126,0,0,"Emmanuel Sanders","DEN","WR",151
28,0,0,0,0,0,0,0,0,0,126,0,0,"Connor Barth","TB","K",151
30,2475,12,12,15,41,0,0,0,0,125,230,388,"Matt Schaub","OAK","QB",153
19,0,0,0,0,0,0,70,919,6,125,0,0,"Wes Welker","DEN","WR",153
29,0,0,0,0,0,0,73,907,6,124,0,0,"Marques Colston","NO","WR",155
36,0,0,0,102,385,1,67,534,5,123,0,0,"Danny Woodhead","SD","RB",156
5,0,0,0,0,0,0,74,818,7,123,0,0,"Jason Witten","DAL","TE",156
31,2435,11,12,24,79,0,0,0,0,122,216,366,"Chad Henne","JAC","QB",158
39,0,0,0,2,14,0,69,967,4,121,0,0,"Anquan Boldin","SF","WR",159
40,0,0,0,0,0,0,64,970,4,119,0,0,"DeAndre Hopkins","HOU","WR",160
17,0,0,0,0,0,0,0,0,0,119,0,0,"Graham Gano","CAR","K",160
27,0,0,0,0,0,0,0,0,0,119,0,0,"Kai Forbath","WSH","K",160
36,0,0,0,0,0,0,63,882,5,118,0,0,"Cecil Shorts","JAC","WR",163
37,0,0,0,40,176,1,91,745,4,117,0,0,"Darren Sproles","PHI","RB",164
29,1469,12,9,40,201,2,0,0,0,116,131,218,"Geno Smith","NYJ","QB",165
33,0,0,0,134,524,6,36,260,1,116,0,0,"Maurice Jones-Drew","OAK","RB",165
38,0,0,0,206,814,2,23,210,1,116,0,0,"DeAngelo Williams","CAR","RB",165
7,0,0,0,0,0,0,70,842,5,114,0,0,"Greg Olsen","CAR","TE",168
23,0,0,0,0,0,0,0,0,0,114,0,0,"Sebastian Janikowski","OAK","K",168
22,0,0,0,0,0,0,0,0,0,112,0,0,"Caleb Sturgis","MIA","K",170
25,0,0,0,0,0,0,0,0,0,112,0,0,"Randy Bullock","HOU","K",170
34,0,0,0,148,743,6,3,17,0,111,0,0,"Chris Ivory","NYJ","RB",172
41,0,0,0,0,0,0,50,816,5,111,0,0,"Riley Cooper","PHI","WR",172
8,0,0,0,0,0,0,63,690,7,111,0,0,"Dennis Pitta","BAL","TE",172
35,0,0,0,127,563,4,36,286,1,110,0,0,"Fred Jackson","BUF","RB",175
26,0,0,0,0,0,0,0,0,0,110,0,0,"Josh Brown","NYG","K",175
43,0,0,0,0,0,0,61,720,6,108,0,0,"Dwayne Bowe","KC","WR",177
24,0,0,0,0,0,0,0,0,0,108,0,0,"Mike Nugent","CIN","K",177
38,0,0,0,3,17,0,44,765,5,107,0,0,"Josh Gordon","CLE","WR",179
45,0,0,0,0,0,0,73,832,4,107,0,0,"Greg Jennings","MIN","WR",179
30,0,0,0,0,0,0,0,0,0,107,0,0,"Josh Scobee","JAC","K",179
33,1702,11,8,26,102,1,0,0,0,106,154,252,"Matt Cassel","MIN","QB",182
9,0,0,0,0,0,0,56,576,8,105,0,0,"Kyle Rudolph","MIN","TE",183
12,0,0,0,0,0,0,63,735,5,103,0,0,"Martellus Bennett","CHI","TE",184
10,0,0,0,0,0,0,61,689,6,102,0,0,"Jordan Reed","WSH","TE",185
44,0,0,0,0,0,0,47,761,4,100,0,0,"Hakeem Nicks","IND","WR",186
49,0,0,0,0,0,0,55,842,3,100,0,0,"Mike Evans","TB","WR",186
34,1550,10,7,23,61,1,0,0,0,98,143,235,"Teddy Bridgewater","MIN","QB",188
42,0,0,0,0,0,0,65,767,4,98,0,0,"Danny Amendola","NE","WR",188
48,0,0,0,0,0,0,57,703,5,98,0,0,"James Jones","OAK","WR",188
40,0,0,0,170,608,4,24,120,0,96,0,0,"Bernard Pierce","BAL","RB",191
41,0,0,0,166,733,4,4,34,0,96,0,0,"Khiry Robinson","NO","RB",191
